no FSDP port specified; using open port for FSDP: 46645
seed: 0
exp_name: hh_dpo_gpt2l_paper_params
batch_size: 64
eval_batch_size: 32
debug: false
fsdp_port: 46645
datasets:
- hh
wandb:
  enabled: false
  entity: null
  project: direct-preference-optimization
local_dirs:
- /scr-ssd
- /scr
- /home/mila/j/jonathan.colaco-carr/scratch
sample_during_eval: false
n_eval_model_samples: 16
do_first_eval: true
local_run_dir: /home/mila/j/jonathan.colaco-carr/scratch/jonathan.colaco-carr/hh_dpo_gpt2l_paper_params_2024-03-16_11-02-04_015953
lr: 1.0e-06
gradient_accumulation_steps: 2
max_grad_norm: 10.0
max_length: 512
max_prompt_length: 256
n_epochs: 1
n_examples: null
n_eval_examples: 256
trainer: FSDPTrainer
optimizer: RMSprop
warmup_steps: 150
activation_checkpointing: false
eval_every: 40000
minimum_log_interval_secs: 1.0
model:
  name_or_path: gpt2-large
  tokenizer_name_or_path: null
  archive: /home/mila/j/jonathan.colaco-carr/scratch/jonathan.colaco-carr/hh_sft_gpt2l_paper_params_2024-03-16_00-40-52_791603/LATEST/policy.pt
  block_name: GPT2Block
  policy_dtype: float32
  fsdp_policy_mp: bfloat16
  reference_dtype: float16
loss:
  name: dpo
  beta: 0.1
  label_smoothing: 0
  reference_free: false

================================================================================
Writing to cn-i001.server.mila.quebec:/home/mila/j/jonathan.colaco-carr/scratch/jonathan.colaco-carr/hh_dpo_gpt2l_paper_params_2024-03-16_11-02-04_015953
================================================================================
building policy
building reference model
loading pre-trained weights at step 159936 from /home/mila/j/jonathan.colaco-carr/scratch/jonathan.colaco-carr/hh_sft_gpt2l_paper_params_2024-03-16_00-40-52_791603/LATEST/policy.pt with metrics {}
loaded pre-trained weights
starting 4 processes for FSDP training
setting RLIMIT_NOFILE soft limit to 131072 from 1024
0 initializing distributed
Creating trainer on process 0 with world size 4
Loading tokenizer gpt2-large
Loaded train data iterator
Loading HH dataset (test split) from Huggingface...
done
FINISHED 256 EXAMPLES on test split
Loaded 8 eval batches of size 32
Sharding policy...
Sharding reference model...
Loaded model on rank 0
Using RMSprop optimizer
Loading HH dataset (train split) from Huggingface...
done
Running evaluation after 0 train examples
eval after 0: {'rewards_eval/chosen': '-0.0011597', 'rewards_eval/rejected': '-0.0010047', 'rewards_eval/accuracies': '0.45312', 'rewards_eval/margins': '-0.00015497', 'logps_eval/rejected': '-127.4', 'logps_eval/chosen': '-137.03', 'loss/eval': '0.69331'}
train stats after 64 examples: {'rewards_train/chosen': '-0.00044427', 'rewards_train/rejected': '-0.00056669', 'rewards_train/accuracies': '0.42188', 'rewards_train/margins': '0.00012242', 'logps_train/rejected': '-127.16', 'logps_train/chosen': '-143.36', 'loss/train': '0.69321', 'examples_per_second': '27.596', 'grad_norm': '4.7892', 'counters/examples': 64, 'counters/updates': 1}
train stats after 128 examples: {'rewards_train/chosen': '-0.00027638', 'rewards_train/rejected': '-0.0037033', 'rewards_train/accuracies': '0.53125', 'rewards_train/margins': '0.0034269', 'logps_train/rejected': '-149.57', 'logps_train/chosen': '-157.17', 'loss/train': '0.69155', 'examples_per_second': '30.447', 'grad_norm': '4.9272', 'counters/examples': 128, 'counters/updates': 2}
train stats after 192 examples: {'rewards_train/chosen': '-7.4504e-05', 'rewards_train/rejected': '-0.0018064', 'rewards_train/accuracies': '0.46875', 'rewards_train/margins': '0.0017319', 'logps_train/rejected': '-176.02', 'logps_train/chosen': '-165.92', 'loss/train': '0.69237', 'examples_per_second': '30.386', 'grad_norm': '5.1052', 'counters/examples': 192, 'counters/updates': 3}
train stats after 256 examples: {'rewards_train/chosen': '-0.00029375', 'rewards_train/rejected': '-0.0015626', 'rewards_train/accuracies': '0.53125', 'rewards_train/margins': '0.0012689', 'logps_train/rejected': '-119.33', 'logps_train/chosen': '-126.2', 'loss/train': '0.69259', 'examples_per_second': '30.337', 'grad_norm': '4.5251', 'counters/examples': 256, 'counters/updates': 4}
train stats after 320 examples: {'rewards_train/chosen': '0.00087282', 'rewards_train/rejected': '-0.0034862', 'rewards_train/accuracies': '0.51562', 'rewards_train/margins': '0.004359', 'logps_train/rejected': '-158.75', 'logps_train/chosen': '-155', 'loss/train': '0.69106', 'examples_per_second': '30.645', 'grad_norm': '4.9596', 'counters/examples': 320, 'counters/updates': 5}
train stats after 384 examples: {'rewards_train/chosen': '0.0014362', 'rewards_train/rejected': '-0.0015393', 'rewards_train/accuracies': '0.59375', 'rewards_train/margins': '0.0029755', 'logps_train/rejected': '-120.65', 'logps_train/chosen': '-103.16', 'loss/train': '0.69173', 'examples_per_second': '30.328', 'grad_norm': '4.3649', 'counters/examples': 384, 'counters/updates': 6}
train stats after 448 examples: {'rewards_train/chosen': '-0.0008149', 'rewards_train/rejected': '-0.0032595', 'rewards_train/accuracies': '0.5', 'rewards_train/margins': '0.0024446', 'logps_train/rejected': '-161.25', 'logps_train/chosen': '-141.44', 'loss/train': '0.69201', 'examples_per_second': '30.612', 'grad_norm': '4.9254', 'counters/examples': 448, 'counters/updates': 7}
train stats after 512 examples: {'rewards_train/chosen': '-0.0046421', 'rewards_train/rejected': '-0.0024016', 'rewards_train/accuracies': '0.48438', 'rewards_train/margins': '-0.0022405', 'logps_train/rejected': '-127.05', 'logps_train/chosen': '-163.85', 'loss/train': '0.69433', 'examples_per_second': '29.494', 'grad_norm': '4.9859', 'counters/examples': 512, 'counters/updates': 8}
train stats after 576 examples: {'rewards_train/chosen': '-0.0011632', 'rewards_train/rejected': '0.0016315', 'rewards_train/accuracies': '0.45312', 'rewards_train/margins': '-0.0027947', 'logps_train/rejected': '-125.96', 'logps_train/chosen': '-124.74', 'loss/train': '0.69466', 'examples_per_second': '30.162', 'grad_norm': '4.5203', 'counters/examples': 576, 'counters/updates': 9}
train stats after 640 examples: {'rewards_train/chosen': '-0.00049648', 'rewards_train/rejected': '0.0016949', 'rewards_train/accuracies': '0.42188', 'rewards_train/margins': '-0.0021914', 'logps_train/rejected': '-123.56', 'logps_train/chosen': '-122.18', 'loss/train': '0.69435', 'examples_per_second': '29.136', 'grad_norm': '4.5727', 'counters/examples': 640, 'counters/updates': 10}
train stats after 704 examples: {'rewards_train/chosen': '-0.0026078', 'rewards_train/rejected': '0.00057428', 'rewards_train/accuracies': '0.4375', 'rewards_train/margins': '-0.003182', 'logps_train/rejected': '-161.02', 'logps_train/chosen': '-157.22', 'loss/train': '0.69488', 'examples_per_second': '30.398', 'grad_norm': '5.2707', 'counters/examples': 704, 'counters/updates': 11}
